,type,atk,def,level,scale,linkval,views,image_url
3580,Effect Monster,1650.0,1050.0,4.0,,,24221,https://images.ygoprodeck.com/images/cards/78663366.jpg
3581,Effect Monster,1850.0,850.0,4.0,,,22982,https://images.ygoprodeck.com/images/cards/3536537.jpg
3584,Link Monster,1100.0,,,,2.0,26,https://images.ygoprodeck.com/images/cards/9205573.jpg
3585,Link Monster,1100.0,,,,2.0,36,https://images.ygoprodeck.com/images/cards/36609518.jpg
3587,Link Monster,3300.0,,,,4.0,7,https://images.ygoprodeck.com/images/cards/93672138.jpg
3588,Effect Monster,2200.0,2200.0,8.0,,,59,https://images.ygoprodeck.com/images/cards/62098216.jpg
3597,Gemini Monster,1900.0,900.0,4.0,,,27865,https://images.ygoprodeck.com/images/cards/96872283.jpg
3598,Gemini Monster,1500.0,1000.0,4.0,,,23029,https://images.ygoprodeck.com/images/cards/16146511.jpg
3599,Effect Monster,1900.0,1400.0,4.0,,,18218,https://images.ygoprodeck.com/images/cards/80651316.jpg
3600,Effect Monster,2200.0,700.0,5.0,,,14283,https://images.ygoprodeck.com/images/cards/39672388.jpg
3601,Effect Monster,1600.0,800.0,4.0,,,19338,https://images.ygoprodeck.com/images/cards/17045014.jpg
3602,Effect Monster,100.0,2400.0,6.0,,,17359,https://images.ygoprodeck.com/images/cards/23234094.jpg
3603,Effect Monster,1100.0,2000.0,4.0,,,10388,https://images.ygoprodeck.com/images/cards/16480084.jpg
3604,Effect Monster,2400.0,600.0,6.0,,,14424,https://images.ygoprodeck.com/images/cards/69633792.jpg
3605,Effect Monster,1200.0,1000.0,4.0,,,20338,https://images.ygoprodeck.com/images/cards/54266211.jpg
3606,Effect Monster,1600.0,400.0,3.0,,,8219,https://images.ygoprodeck.com/images/cards/56240989.jpg
3607,Effect Monster,0.0,0.0,2.0,,,10211,https://images.ygoprodeck.com/images/cards/91903221.jpg
3608,Effect Monster,200.0,400.0,1.0,,,11964,https://images.ygoprodeck.com/images/cards/55488859.jpg
3609,Effect Monster,1200.0,500.0,3.0,,,13201,https://images.ygoprodeck.com/images/cards/3283679.jpg
3610,Effect Monster,0.0,0.0,1.0,,,27663,https://images.ygoprodeck.com/images/cards/13046291.jpg
3611,Effect Monster,100.0,2000.0,2.0,,,15897,https://images.ygoprodeck.com/images/cards/88095331.jpg
3612,Effect Monster,500.0,1200.0,2.0,,,15938,https://images.ygoprodeck.com/images/cards/28877602.jpg
3613,Effect Monster,200.0,200.0,1.0,,,9928,https://images.ygoprodeck.com/images/cards/20855340.jpg
3614,Flip Effect Monster,700.0,1900.0,3.0,,,9280,https://images.ygoprodeck.com/images/cards/81873903.jpg
3618,XYZ Monster,2300.0,1700.0,4.0,,,386834,https://images.ygoprodeck.com/images/cards/42752141.jpg
3619,XYZ Monster,2400.0,2000.0,4.0,,,360794,https://images.ygoprodeck.com/images/cards/74294676.jpg
3620,XYZ Monster,2600.0,1000.0,6.0,,,40288,https://images.ygoprodeck.com/images/cards/18511599.jpg
3621,Effect Monster,2000.0,1000.0,5.0,,,21468,https://images.ygoprodeck.com/images/cards/53180020.jpg
3622,Effect Monster,1800.0,1900.0,4.0,,,28169,https://images.ygoprodeck.com/images/cards/63749102.jpg
3627,Link Monster,2300.0,,,,3.0,142913,https://images.ygoprodeck.com/images/cards/40669071.jpg
3632,Effect Monster,1000.0,1000.0,4.0,,,89307,https://images.ygoprodeck.com/images/cards/74131780.jpg
3633,Effect Monster,1800.0,0.0,4.0,,,92640,https://images.ygoprodeck.com/images/cards/12600382.jpg
3634,Effect Monster,1000.0,1000.0,3.0,,,469498,https://images.ygoprodeck.com/images/cards/33396948.jpg
3635,Effect Monster,0.0,0.0,10.0,,,59916,https://images.ygoprodeck.com/images/cards/5008836.jpg
3636,Effect Monster,0.0,0.0,10.0,,,206231,https://images.ygoprodeck.com/images/cards/13893596.jpg
3638,XYZ Monster,2100.0,1800.0,4.0,,,64219,https://images.ygoprodeck.com/images/cards/41524885.jpg
3640,Effect Monster,500.0,800.0,4.0,,,123182,https://images.ygoprodeck.com/images/cards/16474916.jpg
3641,XYZ Monster,1400.0,2800.0,4.0,,,58893,https://images.ygoprodeck.com/images/cards/5530780.jpg
3642,Effect Monster,400.0,800.0,4.0,,,80070,https://images.ygoprodeck.com/images/cards/79858629.jpg
3643,XYZ Monster,2300.0,800.0,4.0,,,86480,https://images.ygoprodeck.com/images/cards/78135071.jpg
3644,Effect Monster,1600.0,800.0,4.0,,,59558,https://images.ygoprodeck.com/images/cards/37343995.jpg
3645,XYZ Monster,2500.0,1800.0,4.0,,,116349,https://images.ygoprodeck.com/images/cards/42741437.jpg
3648,Effect Monster,100.0,800.0,4.0,,,98835,https://images.ygoprodeck.com/images/cards/5352328.jpg
3649,Effect Monster,300.0,800.0,4.0,,,99611,https://images.ygoprodeck.com/images/cards/43863925.jpg
3651,XYZ Monster,2800.0,2800.0,8.0,,,70541,https://images.ygoprodeck.com/images/cards/59242457.jpg
3653,Effect Monster,1000.0,0.0,3.0,,,55098,https://images.ygoprodeck.com/images/cards/20586572.jpg
3654,Synchro Monster,2400.0,1600.0,7.0,,,50601,https://images.ygoprodeck.com/images/cards/40529384.jpg
3655,Effect Monster,2000.0,2000.0,7.0,,,81903,https://images.ygoprodeck.com/images/cards/31353051.jpg
3656,Synchro Monster,2500.0,1800.0,6.0,,,37569,https://images.ygoprodeck.com/images/cards/33413279.jpg
3658,Effect Monster,100.0,100.0,1.0,,,7869,https://images.ygoprodeck.com/images/cards/38210374.jpg
3659,Effect Monster,1800.0,1000.0,4.0,,,29673,https://images.ygoprodeck.com/images/cards/7080743.jpg
3660,Effect Monster,400.0,1600.0,4.0,,,36401,https://images.ygoprodeck.com/images/cards/984114.jpg
3661,XYZ Monster,2500.0,1100.0,7.0,,,1295,https://images.ygoprodeck.com/images/cards/51822687.jpg
3662,XYZ Monster,1100.0,2800.0,7.0,,,1343,https://images.ygoprodeck.com/images/cards/83827392.jpg
3665,Fusion Monster,2000.0,2000.0,4.0,,,0,https://images.ygoprodeck.com/images/cards/26050548.jpg
3670,Effect Monster,600.0,200.0,2.0,,,16779,https://images.ygoprodeck.com/images/cards/32391566.jpg
3672,Effect Monster,100.0,100.0,1.0,,,4804,https://images.ygoprodeck.com/images/cards/38383368.jpg
3673,Effect Monster,0.0,4000.0,8.0,,,36470,https://images.ygoprodeck.com/images/cards/55737443.jpg
3675,Normal Monster,600.0,500.0,2.0,,,4814,https://images.ygoprodeck.com/images/cards/64511793.jpg
3676,Tuner Monster,0.0,0.0,1.0,,,44817,https://images.ygoprodeck.com/images/cards/39271553.jpg
3679,Effect Monster,0.0,2000.0,7.0,,,36302,https://images.ygoprodeck.com/images/cards/6764709.jpg
3680,Synchro Monster,0.0,2000.0,7.0,,,609781,https://images.ygoprodeck.com/images/cards/33158448.jpg
3683,Effect Monster,0.0,1800.0,4.0,,,50013,https://images.ygoprodeck.com/images/cards/93449450.jpg
3684,Synchro Monster,0.0,3000.0,9.0,,,35349,https://images.ygoprodeck.com/images/cards/75676192.jpg
3688,Link Monster,0.0,,,,2.0,35698,https://images.ygoprodeck.com/images/cards/37414347.jpg
3689,Effect Monster,0.0,1000.0,4.0,,,33062,https://images.ygoprodeck.com/images/cards/67045745.jpg
3691,Effect Monster,0.0,1500.0,6.0,,,21408,https://images.ygoprodeck.com/images/cards/75059201.jpg
3692,Effect Monster,0.0,1000.0,4.0,,,37798,https://images.ygoprodeck.com/images/cards/49655592.jpg
3695,Pendulum Effect Monster,1600.0,400.0,4.0,5.0,,46185,https://images.ygoprodeck.com/images/cards/54100561.jpg
3696,Synchro Monster,2400.0,1900.0,6.0,,,14265,https://images.ygoprodeck.com/images/cards/9061682.jpg
3697,Effect Monster,1600.0,1200.0,4.0,,,12230,https://images.ygoprodeck.com/images/cards/12235475.jpg
3698,Effect Monster,2800.0,100.0,8.0,,,11974,https://images.ygoprodeck.com/images/cards/53199020.jpg
3699,Effect Monster,1400.0,1700.0,3.0,,,7217,https://images.ygoprodeck.com/images/cards/86840720.jpg
3700,Effect Monster,1500.0,800.0,4.0,,,7458,https://images.ygoprodeck.com/images/cards/60434101.jpg
3701,Effect Monster,1700.0,1000.0,4.0,,,35265,https://images.ygoprodeck.com/images/cards/24040093.jpg
3702,Effect Monster,1000.0,800.0,2.0,,,32016,https://images.ygoprodeck.com/images/cards/19439119.jpg
3703,Tuner Monster,1100.0,800.0,3.0,,,21420,https://images.ygoprodeck.com/images/cards/97439806.jpg
3704,Synchro Monster,3000.0,2000.0,10.0,,,21427,https://images.ygoprodeck.com/images/cards/39477584.jpg
3705,Effect Monster,200.0,400.0,1.0,,,31626,https://images.ygoprodeck.com/images/cards/97651498.jpg
3706,Effect Monster,1700.0,0.0,4.0,,,17357,https://images.ygoprodeck.com/images/cards/57630503.jpg
3707,Tuner Monster,400.0,200.0,2.0,,,7766,https://images.ygoprodeck.com/images/cards/8316661.jpg
3708,Tuner Monster,800.0,500.0,2.0,,,6859,https://images.ygoprodeck.com/images/cards/49633574.jpg
3709,Synchro Monster,2300.0,1800.0,5.0,,,30783,https://images.ygoprodeck.com/images/cards/47395382.jpg
3710,Tuner Monster,1300.0,1000.0,2.0,,,43066,https://images.ygoprodeck.com/images/cards/47217354.jpg
3711,Effect Monster,2200.0,2100.0,6.0,,,24098,https://images.ygoprodeck.com/images/cards/72328962.jpg
3712,Effect Monster,500.0,200.0,1.0,,,5435,https://images.ygoprodeck.com/images/cards/46833854.jpg
3714,Effect Monster,1500.0,200.0,4.0,,,7206,https://images.ygoprodeck.com/images/cards/73040500.jpg
3715,Synchro Monster,2900.0,1700.0,8.0,,,21490,https://images.ygoprodeck.com/images/cards/54048462.jpg
3719,Effect Monster,1400.0,600.0,3.0,,,17382,https://images.ygoprodeck.com/images/cards/48742406.jpg
3720,Effect Monster,2400.0,1200.0,6.0,,,13022,https://images.ygoprodeck.com/images/cards/44451698.jpg
3722,XYZ Monster,1900.0,1500.0,4.0,,,38779,https://images.ygoprodeck.com/images/cards/51960178.jpg
3723,Normal Monster,1100.0,1200.0,4.0,,,12554,https://images.ygoprodeck.com/images/cards/20315854.jpg
3724,Effect Monster,1000.0,1000.0,3.0,,,58979,https://images.ygoprodeck.com/images/cards/22419772.jpg
3725,XYZ Monster,2300.0,1400.0,4.0,,,32425,https://images.ygoprodeck.com/images/cards/28290705.jpg
3726,Effect Monster,2200.0,1500.0,6.0,,,10640,https://images.ygoprodeck.com/images/cards/45425051.jpg
3727,XYZ Monster,2200.0,3000.0,6.0,,,50442,https://images.ygoprodeck.com/images/cards/19684740.jpg
3729,Effect Monster,1850.0,1000.0,4.0,,,230695,https://images.ygoprodeck.com/images/cards/86937530.jpg
3730,Effect Monster,1850.0,1000.0,4.0,,,35039,https://images.ygoprodeck.com/images/cards/52022648.jpg
3731,Effect Monster,1850.0,1000.0,4.0,,,27354,https://images.ygoprodeck.com/images/cards/65953423.jpg
3732,Flip Effect Monster,1850.0,1000.0,4.0,,,45737,https://images.ygoprodeck.com/images/cards/42921475.jpg
3733,Effect Monster,1850.0,1000.0,4.0,,,263197,https://images.ygoprodeck.com/images/cards/55623480.jpg
3736,Normal Monster,1600.0,1100.0,4.0,,,6165,https://images.ygoprodeck.com/images/cards/81563416.jpg
3738,Normal Monster,1400.0,1000.0,4.0,,,11631,https://images.ygoprodeck.com/images/cards/68401546.jpg
3740,Normal Monster,800.0,1000.0,3.0,,,6400,https://images.ygoprodeck.com/images/cards/37160778.jpg
3741,Normal Monster,1500.0,1100.0,4.0,,,8339,https://images.ygoprodeck.com/images/cards/75582395.jpg
3746,Effect Monster,1200.0,800.0,4.0,,,19519,https://images.ygoprodeck.com/images/cards/86170989.jpg
3747,Effect Monster,2400.0,1300.0,7.0,,,47939,https://images.ygoprodeck.com/images/cards/49674183.jpg
3750,Effect Monster,1800.0,0.0,4.0,,,766902,https://images.ygoprodeck.com/images/cards/68468459.jpg
3751,Effect Monster,700.0,700.0,2.0,,,0,https://images.ygoprodeck.com/images/cards/82090807.jpg
3754,Effect Monster,1200.0,1400.0,3.0,,,20384,https://images.ygoprodeck.com/images/cards/89731911.jpg
3755,Effect Monster,1850.0,1500.0,4.0,,,108351,https://images.ygoprodeck.com/images/cards/31887905.jpg
3756,Effect Monster,1850.0,1500.0,4.0,,,74005,https://images.ygoprodeck.com/images/cards/21390858.jpg
3757,Effect Monster,1850.0,1500.0,4.0,,,90373,https://images.ygoprodeck.com/images/cards/68881649.jpg
3758,Effect Monster,1850.0,1500.0,4.0,,,102210,https://images.ygoprodeck.com/images/cards/4376658.jpg
3759,Effect Monster,1850.0,1500.0,4.0,,,65769,https://images.ygoprodeck.com/images/cards/40542825.jpg
3760,Effect Monster,1850.0,1500.0,4.0,,,90476,https://images.ygoprodeck.com/images/cards/31764353.jpg
3762,Effect Monster,2200.0,2200.0,5.0,,,7983,https://images.ygoprodeck.com/images/cards/79176962.jpg
3763,Effect Monster,2400.0,1800.0,7.0,,,981349,https://images.ygoprodeck.com/images/cards/78661338.jpg
3765,Effect Monster,1000.0,1900.0,3.0,,,210019,https://images.ygoprodeck.com/images/cards/36553319.jpg
3773,Effect Monster,1700.0,1500.0,4.0,,,38776,https://images.ygoprodeck.com/images/cards/34193084.jpg
3777,Effect Monster,700.0,1100.0,2.0,,,6585,https://images.ygoprodeck.com/images/cards/32271987.jpg
3778,Effect Monster,800.0,700.0,3.0,,,4509,https://images.ygoprodeck.com/images/cards/50785356.jpg
3779,Effect Monster,1700.0,0.0,3.0,,,8351,https://images.ygoprodeck.com/images/cards/92597893.jpg
3780,Effect Monster,2800.0,2800.0,8.0,,,39017,https://images.ygoprodeck.com/images/cards/3954901.jpg
3781,Tuner Monster,1100.0,2000.0,4.0,,,230140,https://images.ygoprodeck.com/images/cards/73176465.jpg
3782,Effect Monster,1700.0,600.0,4.0,,,31655,https://images.ygoprodeck.com/images/cards/97396380.jpg
3783,Spirit Monster,2100.0,1800.0,6.0,,,14414,https://images.ygoprodeck.com/images/cards/50866755.jpg
3784,Tuner Monster,800.0,0.0,1.0,,,15191,https://images.ygoprodeck.com/images/cards/35311929.jpg
3786,Effect Monster,1400.0,1200.0,4.0,,,47594,https://images.ygoprodeck.com/images/cards/218704.jpg
3787,Effect Monster,4000.0,4000.0,10.0,,,56591,https://images.ygoprodeck.com/images/cards/91697229.jpg
3788,Normal Monster,1300.0,1400.0,4.0,,,83439,https://images.ygoprodeck.com/images/cards/41392891.jpg
3789,Link Monster,1300.0,,,,2.0,88745,https://images.ygoprodeck.com/images/cards/98642179.jpg
3791,Flip Effect Monster,500.0,500.0,3.0,,,52646,https://images.ygoprodeck.com/images/cards/78706415.jpg
3793,Effect Monster,1600.0,1200.0,4.0,,,37650,https://images.ygoprodeck.com/images/cards/89529919.jpg
3796,Normal Monster,1200.0,1400.0,4.0,,,11755,https://images.ygoprodeck.com/images/cards/77456781.jpg
3797,Normal Monster,1300.0,1400.0,4.0,,,4335,https://images.ygoprodeck.com/images/cards/68870276.jpg
3798,Normal Monster,1100.0,1400.0,4.0,,,169683,https://images.ygoprodeck.com/images/cards/2863439.jpg
3799,Normal Monster,900.0,200.0,2.0,,,13891,https://images.ygoprodeck.com/images/cards/26566878.jpg
3800,Fusion Monster,2000.0,1200.0,5.0,,,60013,https://images.ygoprodeck.com/images/cards/66235877.jpg
3801,Normal Monster,1400.0,800.0,4.0,,,5409,https://images.ygoprodeck.com/images/cards/22855882.jpg
3802,Normal Monster,600.0,600.0,2.0,,,6379,https://images.ygoprodeck.com/images/cards/52800428.jpg
3804,Ritual Monster,2100.0,1800.0,6.0,,,8469,https://images.ygoprodeck.com/images/cards/31890399.jpg
3807,Effect Monster,2800.0,2000.0,8.0,,,11999,https://images.ygoprodeck.com/images/cards/82556058.jpg
3809,Effect Monster,1400.0,900.0,3.0,,,258475,https://images.ygoprodeck.com/images/cards/81035362.jpg
3810,Effect Monster,1700.0,1000.0,4.0,,,0,https://images.ygoprodeck.com/images/cards/27012717.jpg
3815,Effect Monster,0.0,0.0,1.0,,,113919,https://images.ygoprodeck.com/images/cards/36205132.jpg
3827,Effect Monster,2200.0,1700.0,5.0,,,13435,https://images.ygoprodeck.com/images/cards/87622767.jpg
3831,Tuner Monster,700.0,1300.0,3.0,,,97232,https://images.ygoprodeck.com/images/cards/78275321.jpg
3832,Effect Monster,1700.0,200.0,4.0,,,32929,https://images.ygoprodeck.com/images/cards/81109178.jpg
3834,Normal Monster,800.0,600.0,2.0,,,4505,https://images.ygoprodeck.com/images/cards/88435542.jpg
3835,Link Monster,1500.0,,,,2.0,128537,https://images.ygoprodeck.com/images/cards/64514892.jpg
3836,Effect Monster,100.0,100.0,1.0,,,234722,https://images.ygoprodeck.com/images/cards/42052439.jpg
3847,Effect Monster,1600.0,1000.0,4.0,,,36532,https://images.ygoprodeck.com/images/cards/68535320.jpg
3848,Effect Monster,1800.0,200.0,4.0,,,99184,https://images.ygoprodeck.com/images/cards/18621798.jpg
3849,Effect Monster,1800.0,200.0,4.0,,,69646,https://images.ygoprodeck.com/images/cards/69000994.jpg
3850,Effect Monster,700.0,1700.0,3.0,,,35803,https://images.ygoprodeck.com/images/cards/54149433.jpg
3851,Effect Monster,1000.0,200.0,3.0,,,32919,https://images.ygoprodeck.com/images/cards/96594609.jpg
3852,Effect Monster,1800.0,200.0,4.0,,,77028,https://images.ygoprodeck.com/images/cards/66413481.jpg
3853,Effect Monster,2700.0,1700.0,8.0,,,110175,https://images.ygoprodeck.com/images/cards/23015896.jpg
3855,Normal Monster,1600.0,1500.0,4.0,,,71108,https://images.ygoprodeck.com/images/cards/46534755.jpg
3857,Pendulum Normal Monster,2500.0,1000.0,6.0,0.0,,11566,https://images.ygoprodeck.com/images/cards/28363749.jpg
3858,Link Monster,2300.0,,,,3.0,90326,https://images.ygoprodeck.com/images/cards/24882256.jpg
3859,Effect Monster,1300.0,1500.0,4.0,,,69073,https://images.ygoprodeck.com/images/cards/64752646.jpg
3861,Normal Monster,700.0,500.0,2.0,,,8059,https://images.ygoprodeck.com/images/cards/53581214.jpg
3862,Flip Effect Monster,1000.0,1500.0,4.0,,,68578,https://images.ygoprodeck.com/images/cards/27132350.jpg
3863,Effect Monster,1000.0,1000.0,3.0,,,22224,https://images.ygoprodeck.com/images/cards/53927679.jpg
3865,Effect Monster,1000.0,800.0,4.0,,,22791,https://images.ygoprodeck.com/images/cards/87473172.jpg
3866,Effect Monster,800.0,200.0,3.0,,,14329,https://images.ygoprodeck.com/images/cards/373085.jpg
3867,Normal Monster,700.0,600.0,2.0,,,79607,https://images.ygoprodeck.com/images/cards/53293545.jpg
3869,Effect Monster,2000.0,1500.0,7.0,,,15327,https://images.ygoprodeck.com/images/cards/13846680.jpg
3871,Effect Monster,1200.0,1500.0,4.0,,,813,https://images.ygoprodeck.com/images/cards/20455229.jpg
3872,Link Monster,2500.0,,,,4.0,381485,https://images.ygoprodeck.com/images/cards/5043010.jpg
3873,Link Monster,3000.0,,,,5.0,165694,https://images.ygoprodeck.com/images/cards/68934651.jpg
3874,Link Monster,3000.0,,,,5.0,6739,https://images.ygoprodeck.com/images/cards/64211118.jpg
3875,Link Monster,3500.0,,,,6.0,1112,https://images.ygoprodeck.com/images/cards/21637210.jpg
3876,Effect Monster,100.0,2000.0,4.0,,,105122,https://images.ygoprodeck.com/images/cards/86605184.jpg
3877,Effect Monster,2000.0,1300.0,5.0,,,711,https://images.ygoprodeck.com/images/cards/57940938.jpg
3878,XYZ Monster,2500.0,2000.0,4.0,,,130595,https://images.ygoprodeck.com/images/cards/21065189.jpg
3879,Normal Monster,2250.0,1800.0,6.0,,,9098,https://images.ygoprodeck.com/images/cards/27054370.jpg
3880,Normal Monster,1300.0,1000.0,4.0,,,181236,https://images.ygoprodeck.com/images/cards/71407486.jpg
3883,Fusion Monster,2700.0,2000.0,9.0,,,189832,https://images.ygoprodeck.com/images/cards/10817524.jpg
3890,Tuner Monster,300.0,300.0,3.0,,,22863,https://images.ygoprodeck.com/images/cards/62023839.jpg
3891,Tuner Monster,100.0,200.0,1.0,,,29890,https://images.ygoprodeck.com/images/cards/93369354.jpg
3892,Effect Monster,400.0,400.0,4.0,,,9979,https://images.ygoprodeck.com/images/cards/10560119.jpg
3893,Tuner Monster,200.0,100.0,1.0,,,117319,https://images.ygoprodeck.com/images/cards/66853752.jpg
3894,Effect Monster,200.0,200.0,2.0,,,21884,https://images.ygoprodeck.com/images/cards/51282878.jpg
3895,Effect Monster,0.0,2300.0,5.0,,,0,https://images.ygoprodeck.com/images/cards/34034150.jpg
3901,Fusion Monster,5000.0,5000.0,12.0,,,322287,https://images.ygoprodeck.com/images/cards/99267150.jpg
3902,Link Monster,5000.0,,,,5.0,150511,https://images.ygoprodeck.com/images/cards/10669138.jpg
3903,Link Monster,1200.0,,,,2.0,67054,https://images.ygoprodeck.com/images/cards/49847524.jpg
3904,Effect Monster,1700.0,1000.0,4.0,,,28769,https://images.ygoprodeck.com/images/cards/33034646.jpg
3905,Effect Monster,1400.0,200.0,3.0,,,279211,https://images.ygoprodeck.com/images/cards/80794697.jpg
3906,Normal Monster,2100.0,1800.0,6.0,,,122473,https://images.ygoprodeck.com/images/cards/60862676.jpg
3907,Normal Monster,1900.0,1300.0,5.0,,,46030,https://images.ygoprodeck.com/images/cards/42599677.jpg
3908,Normal Monster,550.0,450.0,2.0,,,24588,https://images.ygoprodeck.com/images/cards/12883044.jpg
3909,Fusion Monster,1000.0,800.0,3.0,,,102056,https://images.ygoprodeck.com/images/cards/58528964.jpg
3910,Normal Monster,900.0,1000.0,3.0,,,117001,https://images.ygoprodeck.com/images/cards/34460851.jpg
3911,Effect Monster,2400.0,1700.0,7.0,,,17636,https://images.ygoprodeck.com/images/cards/58098303.jpg
3912,Effect Monster,1500.0,1600.0,4.0,,,30362,https://images.ygoprodeck.com/images/cards/41089128.jpg
3913,Effect Monster,1500.0,1200.0,4.0,,,10767,https://images.ygoprodeck.com/images/cards/79444933.jpg
3914,Fusion Monster,1800.0,1600.0,5.0,,,101146,https://images.ygoprodeck.com/images/cards/45231177.jpg
3915,Effect Monster,1800.0,0.0,4.0,,,14236,https://images.ygoprodeck.com/images/cards/66499018.jpg
3916,Normal Monster,400.0,450.0,2.0,,,4869,https://images.ygoprodeck.com/images/cards/2830619.jpg
3917,Tuner Monster,1000.0,200.0,3.0,,,13904,https://images.ygoprodeck.com/images/cards/54326448.jpg
3918,Tuner Monster,800.0,200.0,1.0,,,14021,https://images.ygoprodeck.com/images/cards/13761956.jpg
3919,Effect Monster,2200.0,200.0,6.0,,,10049,https://images.ygoprodeck.com/images/cards/40189917.jpg
3921,Effect Monster,1100.0,200.0,2.0,,,12390,https://images.ygoprodeck.com/images/cards/68226653.jpg
3922,Effect Monster,2100.0,1200.0,5.0,,,13425,https://images.ygoprodeck.com/images/cards/91711547.jpg
3923,Effect Monster,1900.0,200.0,4.0,,,43929,https://images.ygoprodeck.com/images/cards/23297235.jpg
3924,Effect Monster,1700.0,200.0,4.0,,,12575,https://images.ygoprodeck.com/images/cards/77372241.jpg
3925,Normal Tuner Monster,100.0,2000.0,1.0,,,161712,https://images.ygoprodeck.com/images/cards/21615956.jpg
3926,Tuner Monster,1400.0,200.0,4.0,,,26194,https://images.ygoprodeck.com/images/cards/95621257.jpg
3927,Effect Monster,200.0,200.0,1.0,,,12922,https://images.ygoprodeck.com/images/cards/28332833.jpg
3928,Synchro Monster,2100.0,400.0,6.0,,,24798,https://images.ygoprodeck.com/images/cards/53714009.jpg
3929,Tuner Monster,300.0,1300.0,3.0,,,50357,https://images.ygoprodeck.com/images/cards/13708425.jpg
3930,Effect Monster,2000.0,2000.0,4.0,,,131994,https://images.ygoprodeck.com/images/cards/96890582.jpg
3931,Link Monster,2300.0,,,,3.0,28861,https://images.ygoprodeck.com/images/cards/95372220.jpg
3933,Pendulum Normal Monster,1800.0,600.0,4.0,7.0,,29679,https://images.ygoprodeck.com/images/cards/17390179.jpg
3937,Effect Monster,800.0,1300.0,2.0,,,6846,https://images.ygoprodeck.com/images/cards/61807040.jpg
3938,Tuner Monster,400.0,200.0,2.0,,,145932,https://images.ygoprodeck.com/images/cards/19642774.jpg
3940,Effect Monster,1000.0,1400.0,4.0,,,17642,https://images.ygoprodeck.com/images/cards/209710.jpg
3943,Effect Monster,800.0,1600.0,3.0,,,27590,https://images.ygoprodeck.com/images/cards/84778110.jpg
3944,Effect Monster,1500.0,800.0,4.0,,,15823,https://images.ygoprodeck.com/images/cards/83812099.jpg
3946,Effect Monster,500.0,200.0,2.0,,,51863,https://images.ygoprodeck.com/images/cards/81278754.jpg
3947,Effect Monster,500.0,500.0,1.0,,,8074,https://images.ygoprodeck.com/images/cards/32176662.jpg
3948,Effect Monster,1800.0,1400.0,4.0,,,25653,https://images.ygoprodeck.com/images/cards/9400127.jpg
3950,Effect Monster,800.0,1000.0,1.0,,,184129,https://images.ygoprodeck.com/images/cards/54334420.jpg
3951,Effect Monster,2700.0,1000.0,10.0,,,168976,https://images.ygoprodeck.com/images/cards/80611581.jpg
3952,Effect Monster,600.0,1200.0,1.0,,,181642,https://images.ygoprodeck.com/images/cards/18940725.jpg
3953,Effect Monster,2900.0,800.0,10.0,,,45881,https://images.ygoprodeck.com/images/cards/53212882.jpg
3954,Effect Monster,700.0,1100.0,1.0,,,110369,https://images.ygoprodeck.com/images/cards/80433039.jpg
3955,Effect Monster,500.0,1300.0,1.0,,,98389,https://images.ygoprodeck.com/images/cards/17827173.jpg
3962,Synchro Monster,2000.0,2000.0,6.0,,,43551,https://images.ygoprodeck.com/images/cards/3966653.jpg
3963,Effect Monster,100.0,100.0,3.0,,,20182,https://images.ygoprodeck.com/images/cards/30382214.jpg
3964,Effect Monster,2000.0,2000.0,3.0,,,54434,https://images.ygoprodeck.com/images/cards/5489987.jpg
3965,Effect Monster,1000.0,1000.0,7.0,,,38292,https://images.ygoprodeck.com/images/cards/94388754.jpg
3966,Synchro Monster,5000.0,0.0,10.0,,,71998,https://images.ygoprodeck.com/images/cards/87460579.jpg
3967,Synchro Monster,3000.0,3000.0,8.0,,,53093,https://images.ygoprodeck.com/images/cards/42291297.jpg
3968,Effect Monster,1000.0,1000.0,10.0,,,31608,https://images.ygoprodeck.com/images/cards/21772453.jpg
3969,Synchro Tuner Monster,2000.0,2000.0,6.0,,,49218,https://images.ygoprodeck.com/images/cards/33541430.jpg
3970,Effect Monster,100.0,100.0,12.0,,,53927,https://images.ygoprodeck.com/images/cards/80630522.jpg
3971,Effect Monster,2000.0,2000.0,12.0,,,29371,https://images.ygoprodeck.com/images/cards/16802689.jpg
3972,Tuner Monster,1000.0,1000.0,6.0,,,48843,https://images.ygoprodeck.com/images/cards/57261568.jpg
3973,Effect Monster,100.0,100.0,1.0,,,46399,https://images.ygoprodeck.com/images/cards/81752019.jpg
3974,Effect Monster,2000.0,2000.0,1.0,,,21760,https://images.ygoprodeck.com/images/cards/16024176.jpg
3975,Effect Monster,100.0,100.0,11.0,,,46157,https://images.ygoprodeck.com/images/cards/54135423.jpg
3976,Tuner Monster,2000.0,2000.0,11.0,,,42921,https://images.ygoprodeck.com/images/cards/89818984.jpg
3977,Effect Monster,100.0,100.0,8.0,,,39726,https://images.ygoprodeck.com/images/cards/17141718.jpg
3978,Effect Monster,2000.0,2000.0,8.0,,,12237,https://images.ygoprodeck.com/images/cards/43413875.jpg
3981,Fusion Monster,1800.0,1400.0,5.0,,,79079,https://images.ygoprodeck.com/images/cards/95952802.jpg
3982,Effect Monster,1500.0,800.0,3.0,,,6474,https://images.ygoprodeck.com/images/cards/45010690.jpg
3983,Effect Monster,2000.0,0.0,4.0,,,3385,https://images.ygoprodeck.com/images/cards/10851853.jpg
